"H"|"CRB0001"|"Global East African Bank"|"2015-06-30"|"1.09"|"2015-06-27"
"D"|"CRB0001"|"CB"|"Bank of West African"|"20150601"|""|""|""|""|""|"Kirimya"|""|""|"Kabonera"|"Masaka District"|"0"|""|""|"AF"|""|"O"|""|""|""|""|""|""
"D"|"CRB0001"|"CB"|"Bank of West African"|"19970625"|"Wangolo"|"Joel"|""|""|"Unknown"|"Kawongo"|""|""|"Kimenyedde"|"Mukono District"|"0"|""|""|"AF"|""|"O"|""|""|""|""|""|""
"D"|"CRB0001"|"CB"|"Bank of West African"|"20150630"|""|"Sozi Plaza"|""|""|""|"Nakalembe"|"Kasanvu"|"Kisugu"|"Kkingo"|"Lwengo District"|"0"|""|""|"UG"|""|"T"|"0723141414"|""|""|""|"bankwest@westafrica.com"|"www.bankofwesteafrica.com"
"D"|"CRB0001"|"CB"|"Bank of West African"|"20150630"|""|"Sozi Plaza"|""|""|"Unknown"|"Kanimi"|"Kasanvu"|"Kisugu"|"Busiriba"|"Kamwenge District"|"1"|""|""|"AF"|""|"O"|"0723141414"|""|""|""|"bankwest@westafrica.com"|"www.bankofwesteafrica.com"
"D"|"CRB0001"|"CB"|"Bank of West African"|"20150627"|""|"Sozi Plaza"|""|""|""|"Nakayonza"|"Kasanvu"|"Kisugu"|"Lwabiyata"|"Nakasongola District"|"0"|""|""|"AF"|""|"O"|"0723141414"|""|""|""|"bankwest@westafrica.com"|"www.bankofwesteafrica.com"
"D"|"CRB0001"|"CB"|"Bank of West African"|"20150611"|""|"Sozi Plaza"|""|""|""|"Kapilan Bar East"|"Kasanvu"|"Kisugu"|"Kaabong Town Council"|"Kaabong District"|"8"|""|""|"AF"|""|"O"|"0723141414"|""|""|""|"bankwest@westafrica.com"|"www.bankofwesteafrica.com"
"D"|"CRB0001"|"CB"|"Bank of West African"|"20150612"|""|"Sozi Plaza"|""|""|""|"KISANGA"|"Kasanvu"|"Kisugu"|"NYAMWAMBA"|"Kasese Municipal Council"|"1"|""|""|"AF"|""|"O"|"0723141414"|""|""|""|"bankwest@westafrica.com"|"www.bankofwesteafrica.com"
"D"|"CRB0001"|"CB"|"Bank of West African"|"20150613"|""|"Sozi Plaza"|""|""|""|"Kalangala Zone B"|"Kasanvu"|"Kisugu"|"Kalangala Town Council"|"Kalangala District"|"0"|""|""|"AF"|""|"O"|"0723141414"|""|""|""|"bankwest@westafrica.com"|"www.bankofwesteafrica.com"
"D"|"CRB0001"|"CB"|"Bank of West African"|"20150614"|""|"Sozi Plaza"|""|""|""|"Oget"|"Kasanvu"|"Kisugu"|"Otuke Town Council"|"Otuke District"|"8"|""|""|"AF"|""|"O"|"0723141414"|""|""|""|"bankwest@westafrica.com"|"www.bankofwesteafrica.com"
"D"|"CRB0001"|"CB"|"Bank of West African"|"20150615"|""|"Sozi Plaza"|""|""|""|"Piida"|"Kasanvu"|"Kisugu"|"Butiaba"|"Buliisa District"|"1"|""|""|"AF"|""|"O"|"0723141414"|""|""|""|"bankwest@westafrica.com"|"www.bankofwesteafrica.com"
"D"|"CRB0001"|"CB"|"Bank of West African"|"20150616"|""|"Sozi Plaza"|""|""|""|"South Ward"|"Kasanvu"|"Kisugu"|"Namutumba Town Council"|"Namutumba District"|"2"|""|""|"AF"|""|"O"|"0723141414"|""|""|""|"bankwest@westafrica.com"|"www.bankofwesteafrica.com"
